priority,source,source_page,category,region,candidate_filename,direct_url,quarantine,status,notes
B,Roman Catholic Parish of Shepperton,https://parish.rcdow.org.uk/shepperton/newsletters/,mislabel recovery negative,UK,26th Sunday in Ordinary Time 26.09.2021.pub,https://parish.rcdow.org.uk/shepperton/wp-content/uploads/sites/108/2021/09/26th-Sunday-in-Ordinary-Time-26.09.2021.pub_.pdf,no,candidate_not_fetched,Public archive label ends .pub but actual linked payload is PDF; retain as classifier negative.
B,Roman Catholic Parish of Shepperton,https://parish.rcdow.org.uk/shepperton/newsletters/,mislabel recovery negative,UK,21st Sunday in Ordinary Time 24.08.25.pub,https://parish.rcdow.org.uk/shepperton/wp-content/uploads/sites/108/2025/08/21st-Sunday-in-Ordinary-Time-24.08.25.pub_.pdf,no,candidate_not_fetched,Public archive label ends .pub but actual linked payload is PDF; retain as classifier negative.
B,Roman Catholic Parish of Shepperton,https://parish.rcdow.org.uk/shepperton/newsletters/,mislabel recovery negative,UK,18th in Ordinary Time.pub,https://parish.rcdow.org.uk/shepperton/wp-content/uploads/sites/108/2020/08/18th-in-Ordinary-Time.pub_.pdf,no,candidate_not_fetched,Public archive label ends .pub but actual linked payload is PDF; retain as classifier negative.
A,Wichita State University,https://www.wichita.edu/services/printing/template_businesscards.php,official Publisher print template,US-KS,10_up_Publisher_template.pub,https://www.wichita.edu/services/printing/_documents/10_up_Publisher_template.pub,no,candidate_not_fetched,Official university business-card Publisher template.
A,Wichita State University,https://www.wichita.edu/services/printing/template_8x11.php,official Publisher print template,US-KS,Publisher_8.5x11_portrait_fullbleed_template.pub,https://www.wichita.edu/services/printing/_documents/Publisher_8.5x11_portrait_fullbleed_template.pub,no,candidate_not_fetched,Official university full-bleed Publisher template.
A,University of West Georgia,https://www.westga.edu/print-services/custom-grad-announcements.php,official Publisher graduation template,US-GA,Template1_horz_sized.pub,https://www.westga.edu/assets/print-services/docs/Template1_horz_sized.pub,no,candidate_not_fetched,Official 34.1 MB Publisher graduation announcement template.
A,University of West Georgia,https://www.westga.edu/print-services/custom-grad-announcements.php,official Publisher graduation template,US-GA,Template2_vertical.pub,https://www.westga.edu/assets/print-services/docs/Template2_vertical.pub,no,candidate_not_fetched,Official 17.3 MB Publisher graduation announcement template.
A,University of Alaska Fairbanks,https://www.uaf.edu/universityrelations/downloads/brochures.php,official Publisher brochure ZIP,US-AK,brochure_11x8.5_2.zip,https://www.uaf.edu/universityrelations/files/downloads/brochures/publisher/brochure_11x8.5_2.zip,no,candidate_not_fetched,Official university Publisher brochure ZIP; extract only .pub members.
A,University of Alaska Fairbanks,https://www.uaf.edu/universityrelations/downloads/brochures.php,official Publisher brochure ZIP,US-AK,brochure_14x8.5_1.zip,https://www.uaf.edu/universityrelations/files/downloads/brochures/publisher/brochure_14x8.5_1.zip,no,candidate_not_fetched,Official university Publisher brochure ZIP; extract only .pub members.
A,University of Alaska Fairbanks,https://www.uaf.edu/universityrelations/downloads/brochures.php,official Publisher brochure ZIP,US-AK,brochure_14x8.5_2.zip,https://www.uaf.edu/universityrelations/files/downloads/brochures/publisher/brochure_14x8.5_2.zip,no,candidate_not_fetched,Official university Publisher brochure ZIP; extract only .pub members.
A,Texas Wesleyan University,https://txwes.edu/communications/resources/print-templates/,official Publisher print template,US-TX,Envelope_Template.pub,https://txwes.edu/media/communications-office/brand-toolbox/print-templates/Envelope_Template.pub,no,candidate_not_fetched,Official university A7 envelope Publisher template.
A,Ellison Primary Academy,https://www.ellison.staffs.sch.uk/class-3d/,school knowledge organiser,UK,Stone Age Knowledge Organiser 3 pages Autumn 2019.pub,,no,candidate_not_fetched,Public Class 3D knowledge organiser.
A,Ellison Primary Academy,https://www.ellison.staffs.sch.uk/class-3d/,school knowledge organiser,UK,Year 3 Anglo Saxon and Scots Knowledge Organiser 1.pub,,no,candidate_not_fetched,Public Class 3D knowledge organiser.
A,Ellison Primary Academy,https://www.ellison.staffs.sch.uk/class-3d/,school knowledge organiser,UK,Year 3 Anglo Saxon and Scots Knowledge Organiser 2 (1).pub,,no,candidate_not_fetched,Public Class 3D knowledge organiser.
A,Ellison Primary Academy,https://www.ellison.staffs.sch.uk/class-3d/,school topic leaflet,UK,new-topic-leaflet-autumn 3d.pub,,no,candidate_not_fetched,Public Class 3D topic leaflet.
A,Ellison Primary Academy,https://www.ellison.staffs.sch.uk/class-6l/,school knowledge organiser,UK,Early Islam Civilisation Year 6.pub,,no,candidate_not_fetched,Public Class 6L knowledge organiser.
A,Ellison Primary Academy,https://www.ellison.staffs.sch.uk/class-6l/,school knowledge organiser,UK,Shakespeare Year 6.pub,,no,candidate_not_fetched,Public Class 6L knowledge organiser.
A,Barming Primary School,https://www.barming.kent.sch.uk/term-5-4/,school knowledge organiser,UK,RE Knowledge Organiser Term 5 Year 4.pub,,no,candidate_not_fetched,Public Year 4 RE knowledge organiser.
A,Ribbleton Avenue Methodist Junior School,https://www.ramjs.lancs.sch.uk/covid-19-additional-work,school home-learning resource,UK,Learning Ideas and Activities 6M.pub,,no,candidate_not_fetched,Public COVID-era home-learning Publisher document.
A,Ribbleton Avenue Methodist Junior School,https://www.ramjs.lancs.sch.uk/covid-19-additional-work,school home-learning resource,UK,Dragons activities.pub,,no,candidate_not_fetched,Public COVID-era home-learning Publisher document.
A,Ribbleton Avenue Methodist Junior School,https://www.ramjs.lancs.sch.uk/covid-19-additional-work,school home-learning resource,UK,Anglo saxons and vikings.pub,,no,candidate_not_fetched,Public COVID-era home-learning Publisher document.
A,Buriton Primary School,https://www.buriton.hants.sch.uk/y23-sapphires/,school maths worksheet,UK,Bar chart template.pub,,no,candidate_not_fetched,Public Year 2/3 maths template.
A,St Mary's Bentworth C of E Primary School,https://www.bentworth.hants.sch.uk/lime-home-learning/,school home-learning resource,UK,How to remember days of the month.pub,,no,candidate_not_fetched,Public home-learning Publisher resource.
A,Adelphi University,https://www.adelphi.edu/brand/design/assets-and-templates/brochures-flyers-and-newsletters/,university approved Publisher template,US-NY,Adelphi_ProgramFlyer.pub,https://www.adelphi.edu/brand/wp-content/uploads/sites/55/2020/08/Adelphi_ProgramFlyer.pub,no,candidate_not_fetched,Official Adelphi-approved Microsoft Publisher program flyer template.
A,Adelphi University,https://www.adelphi.edu/brand/design/assets-and-templates/brochures-flyers-and-newsletters/,university approved Publisher template,US-NY,Adelphi_EventFlyer.pub,https://www.adelphi.edu/brand/wp-content/uploads/sites/55/2020/08/Adelphi_EventFlyer.pub,no,candidate_not_fetched,Official Adelphi-approved Microsoft Publisher event flyer template.
A,Adelphi University,https://www.adelphi.edu/brand/design/assets-and-templates/brochures-flyers-and-newsletters/,university approved Publisher template,US-NY,Adelphi-OnePage.pub,https://www.adelphi.edu/brand/wp-content/uploads/sites/55/2020/08/Adelphi-OnePage.pub,no,candidate_not_fetched,Official Adelphi-approved Microsoft Publisher departmental flyer template.
A,Adelphi University,https://www.adelphi.edu/brand/design/assets-and-templates/brochures-flyers-and-newsletters/,university approved Publisher template,US-NY,Adelphi-TriFold.pub,https://www.adelphi.edu/brand/wp-content/uploads/sites/55/2020/08/Adelphi-TriFold.pub,no,candidate_not_fetched,Official Adelphi-approved Microsoft Publisher trifold template.
A,Adelphi University,https://www.adelphi.edu/brand/design/assets-and-templates/brochures-flyers-and-newsletters/,university approved Publisher template,US-NY,Adelphi-Newsletter.pub,https://www.adelphi.edu/brand/wp-content/uploads/sites/55/2020/08/Adelphi-Newsletter.pub,no,candidate_not_fetched,Official Adelphi-approved Microsoft Publisher newsletter template.
A,Tennessee State University,https://www.tnstate.edu/publications/templates.aspx,university approved Publisher template,US-TN,pubtemplatebrochure1.pub,https://www.tnstate.edu/publications/documents/pubtemplatebrochure1.pub,no,candidate_not_fetched,Official TSU brochure template served as application/x-mspublisher.
A,Tennessee State University,https://www.tnstate.edu/publications/templates.aspx,university approved Publisher template,US-TN,pubtemplatebrochure2.pub,https://www.tnstate.edu/publications/documents/pubtemplatebrochure2.pub,no,candidate_not_fetched,Official TSU brochure template served as application/x-mspublisher.
A,Tennessee State University,https://www.tnstate.edu/publications/templates.aspx,university approved Publisher template,US-TN,pubtemplatebrochure3.pub,https://www.tnstate.edu/publications/documents/pubtemplatebrochure3.pub,no,candidate_not_fetched,Official TSU brochure template served as application/x-mspublisher.
A,Tennessee State University,https://www.tnstate.edu/publications/templates.aspx,university approved Publisher template,US-TN,pubtemplatenewsletter1.pub,https://www.tnstate.edu/publications/documents/pubtemplatenewsletter1.pub,no,candidate_not_fetched,Official TSU newsletter template served as application/x-mspublisher.
A,Tennessee State University,https://www.tnstate.edu/publications/templates.aspx,university approved Publisher template,US-TN,pubtemplatenewsletter2.pub,https://www.tnstate.edu/publications/documents/pubtemplatenewsletter2.pub,no,candidate_not_fetched,Official TSU newsletter template served as application/x-mspublisher.
A,Tennessee State University,https://www.tnstate.edu/publications/templates.aspx,university approved Publisher template,US-TN,pubtemplatenewsletter3.pub,https://www.tnstate.edu/publications/documents/pubtemplatenewsletter3.pub,no,candidate_not_fetched,Official TSU newsletter template served as application/x-mspublisher.
A,Prospect/Bectu,https://union.prospect.org.uk/resource/microsoft-publisher-template-a4-newsletter.html,public Publisher ZIP template archive,UK,PB-A4-newsletter.zip,https://library.prospect.org.uk/download/2019/01612,no,candidate_not_fetched,Public A4 newsletter template archive documented as Microsoft Publisher.
A,Effective Church Communications,https://www.effectivechurchcom.com/category/church-communications/church-newsletters-print/,public Publisher ZIP template archive,US,Senior-Newsletter-Revised-Design.zip,https://www.effectivechurchcom.com/wp-content/uploads/2017/06/Senior-Newsletter-Revised-Design.zip,no,candidate_not_fetched,Public ZIP documented as containing editable Microsoft Publisher newsletter material.
A,Effective Church Communications,https://www.effectivechurchcom.com/category/church-communications/church-newsletters-print/,public Publisher ZIP template archive,US,MS-Pub-Template-for-Senior-Newsletter.zip,https://www.effectivechurchcom.com/wp-content/uploads/2017/06/MS-Pub-Template-for-Senior-Newsletter.zip,no,candidate_not_fetched,Public ZIP documented as containing editable Microsoft Publisher newsletter template.
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Church-Business-Invitation-Cards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Church-Business-Invitation-Cards.zip","no","candidate_not_fetched","Business invitation card Publisher template archive."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","General-Invitation-Cards-2-1.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/General-Invitation-Cards-2-1.zip","no","candidate_not_fetched","General invitation card Publisher template archive."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Spiritual-Seeker-Invite-Cards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Spiritual-Seeker-Invite-Cards.zip","no","candidate_not_fetched","Spiritual seeker invitation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Church-Invite-Cards-mini-format.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Church-Invite-Cards-mini-format.zip","no","candidate_not_fetched","Mini-format invitation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Church-Invite-Cards-Square-format.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Church-Invite-Cards-Square-format.zip","no","candidate_not_fetched","Square-format invitation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Womens-Ministry-Cards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Womens-Ministry-Cards.zip","no","candidate_not_fetched","Women's ministry Publisher card templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Womens-need-cards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Womens-need-cards.zip","no","candidate_not_fetched","Women's need Publisher card templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Loved-and-forgiven-cards-2018.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Loved-and-forgiven-cards.zip","no","candidate_not_fetched","Loved and forgiven Publisher card templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","MS-Publisher-Mens-Ministry-Cards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/MS-Publisher-Mens-Ministry-Cards.zip","no","candidate_not_fetched","Men's ministry Publisher card templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/business-invitation-card-templates/","public Publisher ZIP template archive","US","Church-Business-Invitation-Cards-Portrait-Orientation.zip","https://www.effectivechurchcom.com/wp-content/uploads/2018/09/Church-Business-Invitation-Cards-Portrait-Orientation.zip","no","candidate_not_fetched","Portrait invitation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Easter-BW-Panic-Pack.zip","https://www.effectivechurchcom.com/wp-content/uploads/2019/04/Easter-BW-Panic-Pack.zip","no","candidate_not_fetched","Easter Publisher template archive."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Easter-Invitation-Cards-Bus-Card-Size.zip","https://www.effectivechurchcom.com/wp-content/uploads/2019/03/Easter-Invitation-Cards-Bus-Card-Size.zip","no","candidate_not_fetched","Easter invitation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Easter-INVITATIONS-With-a-MESSAGE.zip","https://www.effectivechurchcom.com/wp-content/uploads/2019/03/Easter-INVITATIONS-With-a-MESSAGE.zip","no","candidate_not_fetched","Easter message invitation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Easter-Follow-Up-Postcards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/02/Easter-Follow-Up-Postcards.zip","no","candidate_not_fetched","Easter follow-up Publisher postcards."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Still-have-questions.zip","https://www.effectivechurchcom.com/wp-content/uploads/2009/03/Still-have-questions.zip","no","candidate_not_fetched","Easter questions Publisher publication archive."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Church-Explanations-for-Easter-Sunday.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/03/Church-Explanations-for-Easter-Sunday.zip","no","candidate_not_fetched","Easter explanation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Church-Bunny-Invitations.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/02/Church-Bunny-Invitations.zip","no","candidate_not_fetched","Children's Easter invitation Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/easter-templates/","public Publisher ZIP template archive","US","Jelly-Bean-Prayer.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/02/Jelly-Bean-Prayer.zip","no","candidate_not_fetched","Easter Jelly Bean Prayer Publisher templates."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/fathers-day-and-mens-ministry-templates/","public Publisher ZIP template archive","US","Fathers-Day-Invitation.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/05/Fathers-Day-Invitation.zip","no","candidate_not_fetched","Father's Day Publisher invitations."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/fathers-day-and-mens-ministry-templates/","public Publisher ZIP template archive","US","Fathers-Day-Bulletin-Inserts-2017.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/05/Fathers-Day-Bulletin-Inserts-2017.zip","no","candidate_not_fetched","Father's Day Publisher bulletin inserts."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/fathers-day-and-mens-ministry-templates/","public Publisher ZIP template archive","US","Fathers-Day-Connection-Cards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/05/Fathers-Day-Connection-Cards.zip","no","candidate_not_fetched","Father's Day Publisher connection cards."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/fathers-day-and-mens-ministry-templates/","public Publisher ZIP template archive","US","Mens-Ministry-Business-Cards.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/05/Mens-Ministry-Business-Cards.zip","no","candidate_not_fetched","Men's ministry Publisher business cards."
"A","Effective Church Communications","https://www.effectivechurchcom.com/templates/fathers-day-and-mens-ministry-templates/","public Publisher ZIP template archive","US","Loved-and-forgiven-cards-2017.zip","https://www.effectivechurchcom.com/wp-content/uploads/2017/05/Loved-and-forgiven-cards.zip","no","candidate_not_fetched","Earlier Loved and forgiven Publisher card archive."
"A","Effective Church Communications","https://www.effectivechurchcom.com/bulletin-insert-size-created-for-hark-the-herald-angels-sing/","public Publisher ZIP template archive","US","Hark-Bulletin-Inserts.zip","https://www.effectivechurchcom.com/wp-content/uploads/2016/12/Hark-Bulletin-Inserts.zip","no","candidate_not_fetched","Christmas bulletin insert archive with editable Publisher files."
"A","Effective Church Communications","https://www.effectivechurchcom.com/category/church-communications/church-postcards/","public Publisher ZIP template archive","US","JPG-Images-AI-created-POSTCARD-SIZE-T-2.zip","https://www.effectivechurchcom.com/wp-content/uploads/2023/04/JPG-Images-AI-created-POSTCARD-SIZE-T-2.zip","no","candidate_not_fetched","Mother's Day postcard archive advertised with editable Publisher file."
"A","Effective Church Communications","https://www.effectivechurchcom.com/category/church-communications/church-postcards/","public Publisher ZIP template archive","US","MOTHERS-DAY-POSTCARDS-SET-1.zip","https://www.effectivechurchcom.com/wp-content/uploads/2023/04/MOTHERS-DAY-POSTCARDS-SET-1.zip","no","candidate_not_fetched","Mother's Day Publisher postcard archive."
A,Water Leys Primary School,https://www.waterleysprimaryschool.co.uk/knowledge-organiser-info/,school knowledge organiser,UK,1. Autumn - My Family.pub,,no,candidate_not_fetched,Public FS2 knowledge organiser listed on school page.
A,Water Leys Primary School,https://www.waterleysprimaryschool.co.uk/knowledge-organiser-info/,school knowledge organiser,UK,FS2 Science Knowledge Organiser 23-24 Aut2.pub,,no,candidate_not_fetched,Public FS2 science knowledge organiser.
A,Water Leys Primary School,https://www.waterleysprimaryschool.co.uk/knowledge-organiser-info/,school knowledge organiser,UK,FS2 RE Knowledge Organiser Why is Christmas important.pub,,no,candidate_not_fetched,Public FS2 RE knowledge organiser.
A,Christ Church Church of England Primary School,https://www.christchurchprimary.org.uk/classes/year-1-overview/,school knowledge organiser,UK,Knowledge Organisers - Year 1 The World.pub,https://drive.google.com/uc?export=download&id=1Be98T0mlA38v_AfATVvsVok93nTXyvx_,no,candidate_not_fetched,Exact public Google Drive file ID recovered from the school Year 1 page; normalized to direct-download form.
A,Christ Church Church of England Primary School,https://www.christchurchprimary.org.uk/classes/year-1-overview/,school knowledge organiser,UK,Knowledge Organisers - Year 1 explorers.pub,https://drive.google.com/uc?export=download&id=1j7KSmK2cVSjWttthFQ9qxGID25UnhRG6,no,candidate_not_fetched,Exact public Google Drive file ID recovered from the school Year 1 page; normalized to direct-download form.
A,Eureka Primary School,https://www.eurekaprimaryschool.co.uk/thinkers,school SPAG knowledge organiser,UK,Y1 SPAG Knowledge Organiser.pub,,no,candidate_not_fetched,Public Year 1 SPAG Publisher learning mat.
A,Eureka Primary School,https://www.eurekaprimaryschool.co.uk/thinkers,school SPAG knowledge organiser,UK,Y2 SPAG Knowledge Organiser.pub,,no,candidate_not_fetched,Public Year 2 SPAG Publisher learning mat.
A,Northleigh C of E Primary School,https://northleigh-ceps.secure-primarysite.net/class-6-gh/,school knowledge organiser,UK,knowledge-organiser-year-6-spring-evolution-and-inheritance.pub,,no,candidate_not_fetched,Public Year 6 science knowledge organiser.
A,Potten End Church of England Primary School,https://www.pottenend.herts.sch.uk/year-6-18/,school history knowledge organiser,UK,History knowledge organiser Battle of Britain - Year 6 Spring.pub,,no,candidate_not_fetched,Public Year 6 history knowledge organiser.
A,Potten End Church of England Primary School,https://www.pottenend.herts.sch.uk/year-6-18/,school history knowledge organiser,UK,History knowledge organiser Victorians - Year 6 Autumn 1.pub,,no,candidate_not_fetched,Public Year 6 history knowledge organiser.
A,Brookvale Primary School,https://www.brookvaleprimary.co.uk/halton/primary/brookvale/site/pages/ourschool/classes/class6kg,school parent booklet,UK,booklet for parents year 6.pub,,no,candidate_not_fetched,Public Year 6 parent booklet.
A,Holly Hill Primary and Nursery School,https://www.hollyhillschool.co.uk/autumn-1-35/,school knowledge organiser,UK,"KO Autumn 1, Amazing Me, CYCLE B.pub YEAR 1.pub",,no,candidate_not_fetched,Public Year 1 knowledge organiser with unusual filename.
A,Merton Bank Primary School,https://www.mertonbank.st-helens.sch.uk/children/class-pages/reception,school reception topic overview,UK,Autumn 1 2025 Reception.pub,,no,candidate_not_fetched,Public Reception term Publisher document.
A,Ambergate Primary School,https://www.ambergateprimaryschool.co.uk/class-3-page,school knowledge organiser family,UK,Class 3 - Cycle C - History - Ancient Greece.pub,,no,candidate_not_fetched,Public Class 3 history knowledge organiser.
A,Ambergate Primary School,https://www.ambergateprimaryschool.co.uk/class-3-page,school knowledge organiser family,UK,Class 3 - Cycle C - Science KO - Forces.pub,,no,candidate_not_fetched,Public Class 3 science knowledge organiser.
A,Ambergate Primary School,https://www.ambergateprimaryschool.co.uk/class-3-page,school knowledge organiser family,UK,Class 3 - Cycle A - Art - Drawing - I Need Space.pub,,no,candidate_not_fetched,Public Class 3 art knowledge organiser.
A,Ambergate Primary School,https://www.ambergateprimaryschool.co.uk/class-3-page,school knowledge organiser family,UK,Class 3 - Cycle A - Art - Painting - Light and Dark.pub,,no,candidate_not_fetched,Public Class 3 art knowledge organiser.
A,Ambergate Primary School,https://www.ambergateprimaryschool.co.uk/class-3-page,school knowledge organiser family,UK,Class 3 - Cycle A - Science - Light.pub,,no,candidate_not_fetched,Public Class 3 science knowledge organiser.
A,Ambergate Primary School,https://www.ambergateprimaryschool.co.uk/class-3-page,school knowledge organiser family,UK,Class 3 - Cycle A - Science - Earth and Space.pub,,no,candidate_not_fetched,Public Class 3 science knowledge organiser.
